CPF,Valor,Canal de Venda,Data,Tipo de Cliente,Moeda
25653370002,500,Online,2023-07-01 14:30:00,Novo,BRL
83177313083,1500,Telefone,2023-07-01 15:00:00,Fidelizado,BRL
20122296036,2000,Online,2023-07-01 16:00:00,Novo,BRL
88257541087,750,Loja física,2023-07-01 16:30:00,Fidelizado,BRL
61424909090,1200,Online,2023-07-01 17:00:00,Novo,BRL
61548544043,600,Telefone,2023-07-01 17:30:00,Fidelizado,BRL
70779302036,1800,Online,2023-07-01 18:00:00,Novo,BRL
01032953055,900,Loja física,2023-07-01 18:30:00,Fidelizado,BRL
07307128004,1100,Online,2023-07-01 19:00:00,Novo,BRL
70984056041,400,Telefone,2023-07-01 19:30:00,Fidelizado,BRL
