Nome,CPF,Data de Nascimento,Email,Estado
Alice Silva,25653370002,01/01/1980,alice.silva@example.com,SP
Bruno Costa,83177313083,15/05/1985,bruno.costa@example.com,RJ
Carla Souza,20122296036,22/03/1990,carla.souza@example.com,MG
Daniel Almeida,88257541087,30/07/1975,daniel.almeida@example.com,BA
Elena Ramos,61424909090,10/12/1982,elena.ramos@example.com,PR
Felipe Araujo,61548544043,25/11/1995,felipe.araujo@example.com,RS
Gustavo Lima,70779302036,05/09/1988,gustavo.lima@example.com,SC
Helena Pereira,01032953055,18/04/1992,helena.pereira@example.com,PE
Igor Fernandes,073.071.280-04,02/02/1983,igor.fernandes@example.com,CE
Juliana Martins,70984056041,12/08/1979,juliana.martins@example.com,DF
